"DIMENSION","DimensionUpdateDirect","DimensionUpdateDirect(DimName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionupdatedirect.html"
"DIMENSION","DimensionTopElementInsert","DimensionTopElementInsert(DimName, InsertionPoint, ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensiontopelementinsert.html"
"DIMENSION","DimensionTopElementInsertDirect","DimensionTopElementInsertDirect(DimName, InsertionPoint, ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensiontopelementinsertdirect.html"

"ODBC","ODBCClose","ODBCClose(Source)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_odbcclose.html#tm1_ref_tifun_odbcclose"
"ODBC","ODBCOpen","ODBCOpen(Source, ClientName, Password)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_odbcopen.html#tm1_ref_tifun_odbcopen"
"ODBC","ODBCOPENEx","ODBCOpenEx(Source, ClientName, Password, UseUnicodeODBC);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_id_odbcturbointegratorfunctions_n719eb_1926odbcopenex.html#id_ODBCTurboIntegratorFunctions_N719EB_1926ODBCOPENEx"
"ODBC","ODBCOutput","ODBCOutput(Source, SQLQuery, [SQLQuery2, SQLQuery3, ...]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_odbcoutput.html#tm1_ref_tifun_odbcoutput"
"ODBC","SetODBCUnicodeInterface","SetODBCUnicodeInterface=1","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_id_odbcturbointegratorfunctions_n719eb_2024setodbcunicodeinterface.html#id_ODBCTurboIntegratorFunctions_N719EB_2024SetODBCUnicodeInterface"

"PROCESS","ProcessError","ProcessError;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_processerror.html"
"PROCESS","ExecuteCommand","ExecuteCommand(CommandLine, Wait);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_executecommand.html#tm1_ref_tifun_executecommand"
"PROCESS","ExecuteProcess","ExecuteProcess(ProcessName, [ParamName1, ParamValue1,ParamName2, ParamValue2])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_executeprocess.html#tm1_ref_tifun_executeprocess"
"PROCESS","GetProcessErrorFileDirectory","GetProcessErrorFileDirectory;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_getprocesserrorfiledirectory.html#tm1_ref_tifun_getprocesserrorfiledirectory"
"PROCESS","GetProcessErrorFilename","GetProcessErrorFilename;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_getprocesserrorfilename.html#tm1_ref_tifun_getprocesserrorfilename"
"PROCESS","GetProcessName","GetProcessName;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_getprocessname_nc8779.html#GetProcessName_NC8779"
"PROCESS","ItemReject","ItemReject(ErrorString);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_itemreject.html#tm1_ref_tifun_itemreject"
"PROCESS","ItemSkip","ItemSkip;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_itemskip.html#tm1_ref_tifun_itemskip"
"PROCESS","ProcessBreak","ProcessBreak;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_processbreak.html#tm1_ref_tifun_processbreak"
"PROCESS","ProcessError","ProcessError;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_processerror.html#tm1_ref_tifun_processerror"
"PROCESS","ProcessQuit","ProcessQuit;","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_processquit.html#tm1_ref_tifun_processquit"
"PROCESS","Synchronized","synchronized(string)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_ref_tifun_synchronize.html"

"RULES","CubeProcessFeeders","CubeProcessFeeders(CubeName)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cubeprocessfeeders.html#tm1_ref_tifun_cubeprocessfeeders"
"RULES","CubeRuleAppend","CubeRuleAppend(CubeName, RuleText, IsCalculationRule)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cuberuleappend.html"
"RULES","CubeRuleDestroy","CubeRuleDestroy(CubeName)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cuberuledestroy.html"
"RULES","DeleteAllPersistentFeeders","DeleteAllPersistentFeeders","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_deleteallpersfeed_hg201.html#DeleteAllPersFeed_HG201"
"RULES","ForceSkipCheck","ForceSkipCheck","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_id_rulesmanagementturbointegratorfunctions_n71e7c_2512forceskipcheck.html#id_RulesManagementTurboIntegratorFunctions_N71E7C_2512ForceSkipCheck"
"RULES","RuleLoadFromFile","RuleLoadFromFile(Cube, TextFile)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_ruleloadfromfile.html#tm1_ref_tifun_ruleloadfromfile"

"SANDBOX","GetUseActiveSandboxProperty","GetUseActiveSandboxProperty","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_getuseactivesandboxproperty_ty6008.html#GetUseActiveSandboxProperty_TY6008"
"SANDBOX","ServerSandboxesDelete","ServerSandboxesDelete(string,string,string)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_serversandboxesdelete.html"
"SANDBOX","ServerActiveSandboxGet","ServerActiveSandboxGet","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_serveractivesandboxget_nb6700.html#ServerActiveSandboxGet_NB6700"
